Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Company Name,Industry,Sector,CEO,Headquarters,Website,Current Price,Open Price,Market Cap,P/E Ratio,EPS,Dividend Yield,52-Week High,52-Week Low
2016-04-29 00:00:00+05:30,93.11228947614667,313.7,306.15,92.92767333984375,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-02 00:00:00+05:30,93.4815084767896,313.7,306.15,92.01299285888672,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-03 00:00:00+05:30,92.07174980749265,313.7,306.15,91.22420501708984,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-04 00:00:00+05:30,90.79623609475262,313.7,306.15,90.59484100341797,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-05 00:00:00+05:30,90.5444830583604,313.7,306.15,91.13188934326172,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-06 00:00:00+05:30,91.46754543619927,313.7,306.15,89.3864517211914,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-09 00:00:00+05:30,89.52911244046874,313.7,306.15,90.44378662109375,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-10 00:00:00+05:30,90.8297874460617,313.7,306.15,90.3934326171875,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-11 00:00:00+05:30,90.62841243139344,313.7,306.15,90.15009307861328,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-12 00:00:00+05:30,90.62839609612202,313.7,306.15,90.98084259033203,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-13 00:00:00+05:30,91.46755294671452,313.7,306.15,90.56127166748047,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-16 00:00:00+05:30,90.62838907126745,313.7,306.15,90.78782653808594,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-17 00:00:00+05:30,91.13188559186487,313.7,306.15,90.72909545898438,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-18 00:00:00+05:30,90.73748922587092,313.7,306.15,90.45217895507812,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-19 00:00:00+05:30,90.67035232165838,313.7,306.15,91.08153533935547,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-20 00:00:00+05:30,91.17383575439453,313.7,306.15,91.17383575439453,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-23 00:00:00+05:30,91.18225088143977,313.7,306.15,90.64519500732422,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-24 00:00:00+05:30,90.7626651678582,313.7,306.15,90.30952453613281,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-25 00:00:00+05:30,90.9304863145653,313.7,306.15,91.67733001708984,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-26 00:00:00+05:30,91.7192889889715,313.7,306.15,91.48432922363281,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-27 00:00:00+05:30,91.6353847070946,313.7,306.15,91.61859893798828,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-30 00:00:00+05:30,91.46756087692016,313.7,306.15,92.35706329345703,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-05-31 00:00:00+05:30,92.30670975693138,313.7,306.15,91.66895294189453,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-01 00:00:00+05:30,91.87034713966307,313.7,306.15,92.85215759277344,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-02 00:00:00+05:30,93.96822076602292,313.7,306.15,90.67035675048828,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-03 00:00:00+05:30,90.8381759098681,313.7,306.15,90.80461120605469,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-06 00:00:00+05:30,90.79622171840322,313.7,306.15,89.94867706298828,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-07 00:00:00+05:30,90.96406047289345,313.7,306.15,90.56965637207031,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-08 00:00:00+05:30,91.1151005553046,313.7,306.15,91.25775909423828,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
2016-06-09 00:00:00+05:30,91.48433142272322,313.7,306.15,91.45075988769531,734154,0.0,0.0,WIPRO.BO,Wipro Limited,Information Technology Services,Technology,Mr. Rishad Azim Hasham Premji Jr.,"Bengaluru, India",https://www.wipro.com,309.3,311.95,3234721169408,26.12331,11.84,0.0017,324.55,208.4
