companyName,currentValue,change,pChange,updatedOn,securityID,scripCode,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat,buy,sell
BASF INDIA LTD.,6926.20,-466.70,-6.31,25 Oct 24 | 02:14 PM,BASF,500042,A  / BSE 500,10.00,Chemicals,7392.90,7380.05,7431.40,6851.70,8748.10,2445.80,7093.73,1.63 Cr.,0.02 Lakh,0.03 Lakh,"29,980.50 Cr.","7,794.93 Cr.","{'1': {'quantity': '1', 'price': '6942.00'}, '2': {'quantity': '7', 'price': '6941.25'}, '3': {'quantity': '8', 'price': '6938.50'}, '4': {'quantity': '9', 'price': '6938.45'}, '5': {'quantity': '5', 'price': '6938.35'}}","{'1': {'price': '6963.05', 'quantity': '1'}, '2': {'price': '6963.55', 'quantity': '8'}, '3': {'price': '6964.10', 'quantity': '1'}, '4': {'price': '6964.15', 'quantity': '12'}, '5': {'price': '6965.40', 'quantity': '1'}}"
BATA INDIA LTD.,1364.05,-21.55,-1.56,25 Oct 24 | 02:14 PM,BATAINDIA,500043,A  / BSE 500,5.00,Consumer Durables,1385.60,1383.00,1391.00,1356.85,1724.35,1269.00,1373.38,2.26 Cr.,0.17 Lakh,0.18 Lakh,"17,531.80 Cr.","8,765.90 Cr.","{'1': {'quantity': '2', 'price': '1362.60'}, '2': {'quantity': '5', 'price': '1362.55'}, '3': {'quantity': '2', 'price': '1362.50'}, '4': {'quantity': '2', 'price': '1362.45'}, '5': {'quantity': '12', 'price': '1362.40'}}","{'1': {'price': '1363.70', 'quantity': '12'}, '2': {'price': '1363.75', 'quantity': '2'}, '3': {'price': '1363.85', 'quantity': '4'}, '4': {'price': '1363.90', 'quantity': '4'}, '5': {'price': '1363.95', 'quantity': '4'}}"
BEML LTD.,3704.15,-167.35,-4.32,25 Oct 24 | 02:14 PM,BEML,500048,A  / BSE 500,10.00,Capital Goods,3871.50,3830.05,3909.90,3690.10,5489.15,1904.50,3753.22,7.84 Cr.,0.21 Lakh,0.32 Lakh,"15,425.75 Cr.","7,095.84 Cr.","{'1': {'quantity': '1', 'price': '3704.10'}, '2': {'quantity': '4', 'price': '3704.05'}, '3': {'quantity': '25', 'price': '3704.00'}, '4': {'quantity': '9', 'price': '3703.95'}, '5': {'quantity': '5', 'price': '3703.00'}}","{'1': {'price': '3707.35', 'quantity': '3'}, '2': {'price': '3707.45', 'quantity': '24'}, '3': {'price': '3707.50', 'quantity': '1'}, '4': {'price': '3707.55', 'quantity': '15'}, '5': {'price': '3707.70', 'quantity': '1'}}"
BHARAT ELECTRONICS LTD.,271.70,0.30,0.11,25 Oct 24 | 02:14 PM,BEL,500049,A  / BSE 100,1.00,Capital Goods,271.40,271.35,273.45,257.40,340.35,127.00,264.30,73.01 Cr.,27.62 Lakh,6.14 Lakh,"1,98,606.69 Cr.","97,317.28 Cr.","{'1': {'quantity': '697', 'price': '271.55'}, '2': {'quantity': '989', 'price': '271.50'}, '3': {'quantity': '2152', 'price': '271.45'}, '4': {'quantity': '1945', 'price': '271.40'}, '5': {'quantity': '4285', 'price': '271.35'}}","{'1': {'price': '271.80', 'quantity': '707'}, '2': {'price': '271.85', 'quantity': '1101'}, '3': {'price': '271.90', 'quantity': '3618'}, '4': {'price': '271.95', 'quantity': '5865'}, '5': {'price': '272.00', 'quantity': '3220'}}"
BHANSALI ENGINEERING POLYMERS LTD.-$,128.00,-5.95,-4.44,25 Oct 24 | 02:15 PM,BEPL,500052,B  / BSE SmallCap,1.00,Chemicals,133.95,131.50,135.65,126.55,177.00,81.72,129.38,0.95 Cr.,0.74 Lakh,1.03 Lakh,"3,185.39 Cr.","1,210.45 Cr.","{'1': {'quantity': '1', 'price': '127.70'}, '2': {'quantity': '1080', 'price': '127.65'}, '3': {'quantity': '32', 'price': '127.60'}, '4': {'quantity': '104', 'price': '127.55'}, '5': {'quantity': '238', 'price': '127.50'}}","{'1': {'price': '127.90', 'quantity': '82'}, '2': {'price': '127.95', 'quantity': '782'}, '3': {'price': '128.00', 'quantity': '125'}, '4': {'price': '128.05', 'quantity': '184'}, '5': {'price': '128.15', 'quantity': '1228'}}"
BIHAR SPONGE IRON LTD.,15.71,-0.82,-4.96,25 Oct 24 | 02:14 PM,BIHSPONG,500058,X  /,10.00,Metals & Mining,16.53,16.02,16.65,15.71,26.77,8.87,15.86,0.08 Cr.,0.48 Lakh,0.78 Lakh,141.71 Cr.,42.51 Cr.,"{'1': {'quantity': '25009', 'price': '15.71'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '15.90', 'quantity': '151'}, '2': {'price': '15.91', 'quantity': '1'}, '3': {'price': '15.92', 'quantity': '1'}, '4': {'price': '15.93', 'quantity': '1'}, '5': {'price': '15.94', 'quantity': '262'}}"
BINANI INDUSTRIES LTD.,15.35,-0.55,-3.46,25 Oct 24 | 02:13 PM,BINANIIND,500059,T  /,10.00,Financial Services,15.90,16.29,16.59,15.32,22.10,13.22,16.38,0.00 Cr.,0.02 Lakh,0.02 Lakh,48.15 Cr.,21.67 Cr.,"{'1': {'quantity': '1', 'price': '15.32'}, '2': {'quantity': '2', 'price': '15.29'}, '3': {'quantity': '100', 'price': '15.25'}, '4': {'quantity': '100', 'price': '15.15'}, '5': {'quantity': '3', 'price': '15.12'}}","{'1': {'price': '16.44', 'quantity': '150'}, '2': {'price': '16.47', 'quantity': '275'}, '3': {'price': '16.48', 'quantity': '200'}, '4': {'price': '16.50', 'quantity': '200'}, '5': {'price': '16.60', 'quantity': '200'}}"
Birla Cable Ltd,212.95,-9.05,-4.08,25 Oct 24 | 02:14 PM,BIRLACABLE,500060,B  /,10.00,Telecommunication,222.00,220.00,221.55,208.45,340.00,207.45,212.95,0.27 Cr.,0.12 Lakh,0.07 Lakh,638.85 Cr.,204.43 Cr.,"{'1': {'quantity': '7', 'price': '211.95'}, '2': {'quantity': '3', 'price': '211.90'}, '3': {'quantity': '1', 'price': '211.85'}, '4': {'quantity': '17', 'price': '211.75'}, '5': {'quantity': '7', 'price': '211.65'}}","{'1': {'price': '212.65', 'quantity': '4'}, '2': {'price': '212.70', 'quantity': '3'}, '3': {'price': '212.75', 'quantity': '1'}, '4': {'price': '212.95', 'quantity': '113'}, '5': {'price': '213.00', 'quantity': '6'}}"
BLUE STAR LTD.,1850.10,-18.60,-1.00,25 Oct 24 | 02:15 PM,BLUESTARCO,500067,A  / BSE 500,2.00,Consumer Durables,1868.70,1867.05,1900.00,1828.80,2198.00,858.00,1850.15,1.62 Cr.,0.09 Lakh,0.37 Lakh,"38,040.79 Cr.","23,965.70 Cr.","{'1': {'quantity': '50', 'price': '1846.85'}, '2': {'quantity': '9', 'price': '1846.50'}, '3': {'quantity': '19', 'price': '1846.45'}, '4': {'quantity': '39', 'price': '1845.90'}, '5': {'quantity': '4', 'price': '1845.50'}}","{'1': {'price': '1849.50', 'quantity': '4'}, '2': {'price': '1849.55', 'quantity': '21'}, '3': {'price': '1849.60', 'quantity': '6'}, '4': {'price': '1849.65', 'quantity': '15'}, '5': {'price': '1850.10', 'quantity': '2'}}"
DISA INDIA LTD.,17500.00,-381.70,-2.13,25 Oct 24 | 02:14 PM,DISAQ,500068,B  /,10.00,Capital Goods,17881.70,17591.00,18128.00,17500.00,20900.00,12600.00,17628.20,0.06 Cr.,0.00 Lakh,0.00 Lakh,"2,544.86 Cr.",610.77 Cr.,"{'1': {'quantity': '2', 'price': '17300.00'}, '2': {'quantity': '1', 'price': '17215.00'}, '3': {'quantity': '2', 'price': '17201.10'}, '4': {'quantity': '25', 'price': '17201.00'}, '5': {'quantity': '1', 'price': '17200.00'}}","{'1': {'price': '17750.00', 'quantity': '1'}, '2': {'price': '17798.90', 'quantity': '1'}, '3': {'price': '17800.00', 'quantity': '1'}, '4': {'price': '17999.95', 'quantity': '1'}, '5': {'price': '18099.00', 'quantity': '1'}}"
